Municipio;Porcentagem de abandono - Ensino fundamental - Anos Iniciais;Porcentagem de abandono - Ensino fundamental - Anos Finais;Porcentagem de abandono - Ensino Médio;Total Abandono Escolar
MAUA;0,03;0,22;0,65;0,9
RIBEIRAO PIRES;0,0;0,02;0,95;0,97
RIO GRANDE DA SERRA;0,0;0,28;0,36;0,64
IGUAPE;0,0;0,0;0,0;0,0
ILHA COMPRIDA;0,0;0,0;0,0;0,0
ITARIRI;0,0;0,0;0,0;0,0
JUQUIA;0,0;0,0;0,0;0,0
MIRACATU;0,0;0,09;0,4;0,49
PEDRO DE TOLEDO;0,0;0,0;0,0;0,0
ESTRELA DO NORTE;0,0;0,0;0,0;0,0
EUCLIDES DA CUNHA PAULISTA;0,0;0,0;0,0;0,0
MIRANTE DO PARANAPANEMA;0,0;0,0;0,2;0,2
NARANDIBA;0,0;0,0;0,0;0,0
ROSANA;0,0;0,0;0,61;0,61
SANDOVALINA;0,0;0,0;0,0;0,0
TARABAI;0,0;0,0;0,0;0,0
TEODORO SAMPAIO;0,0;0,0;3,5;3,5
BIRITIBA-MIRIM;0,0;0,0;2,75;2,75
MOGI DAS CRUZES;0,0;0,19;0,78;0,97
SALESOPOLIS;0,0;0,0;0,7;0,7
AGUAS DE LINDOIA;0,0;0,0;2,57;2,57
AMPARO;0,0;0,04;0,0;0,04
CONCHAL;0,0;0,0;0,12;0,12
ESTIVA GERBI;0,0;0,0;0,0;0,0
HOLAMBRA;0,0;0,0;0,0;0,0
ITAPIRA;0,0;0,36;0,72;1,08
LINDOIA;0,0;0,0;0,0;0,0
MOGI GUACU;0,0;0,07;0,41;0,48
MOGI MIRIM;0,0;0,13;0,7;0,83
MONTE ALEGRE DO SUL;0,0;0,0;0,25;0,25
PEDREIRA;0,0;0,0;0,0;0,0
SANTO ANTONIO DE POSSE;0,0;0,0;2,47;2,47
SERRA NEGRA;0,0;0,0;0,19;0,19
SAO PAULO;0,05;0,34;1,9;2,29
SAO PAULO;0,01;0,03;0,12;0,16
OSASCO;0,0;0,17;0,53;0,7000000000000001
BERNARDINO DE CAMPOS;0,0;0,0;0,0;0,0
CAMPOS NOVOS PAULISTA;0,0;0,0;0,0;0,0
CANITAR;0,0;0,0;0,0;0,0
CHAVANTES;0,0;1,33;1,16;2,49
ESPIRITO SANTO DO TURVO;0,0;0,0;0,0;0,0
IBIRAREMA;0,0;0,0;0,0;0,0
IPAUSSU;0,0;0,0;0,0;0,0
OURINHOS;0,0;0,1;0,33;0,43000000000000005
RIBEIRAO DO SUL;0,0;0,0;0,0;0,0
SALTO GRANDE;0,0;0,0;0,0;0,0
SANTA CRUZ DO RIO PARDO;0,0;0,0;0,0;0,0
SAO PEDRO DO TURVO;0,0;0,0;0,0;0,0
ALTO ALEGRE;0,0;0,0;0,0;0,0
AVANHANDAVA;0,0;0,0;0,0;0,0
BARBOSA;0,0;0,0;0,0;0,0
BRAUNA;0,0;0,0;0,0;0,0
CLEMENTINA;0,0;0,0;0,0;0,0
LUIZIANIA;0,0;0,0;0,0;0,0
PENAPOLIS;0,0;0,0;0,0;0,0
SANTOPOLIS DO AGUAPEI;0,0;0,0;0,0;0,0
CAMPOS DO JORDAO;0,0;0,0;0,0;0,0
PINDAMONHANGABA;0,0;0,04;0,07;0,11000000000000001
SANTO ANTONIO DO PINHAL;0,0;0,0;0,0;0,0
SAO BENTO DO SAPUCAI;0,0;0,0;1,6;1,6
TREMEMBE;0,0;0,0;0,0;0,0
AGUAS DE SAO PEDRO;0,0;0,0;0,0;0,0
CHARQUEADA;0,0;0,0;0,0;0,0
PIRACICABA;0,15;0,01;0,02;0,18
