Município,Percentual
Itobi,71.4,28.6,14.3,71.4,57.1,100.0,100.0,100.0,100.0,42.9
Itu,86.6,54.6,29.4,82.4,77.3,100.0,100.0,95.0,100.0,45.4
Itupeva,22.6,18.9,24.5,79.2,75.5,100.0,100.0,86.8,94.3,32.1
Ituverava,53.6,53.6,28.6,89.3,64.3,100.0,100.0,100.0,100.0,53.6
Itápolis,55.9,55.9,5.9,85.3,61.8,100.0,100.0,100.0,100.0,44.1
Jaborandi,80.0,60.0,20.0,100.0,60.0,100.0,100.0,100.0,100.0,40.0
Jaboticabal,56.2,40.6,14.1,64.1,67.2,100.0,100.0,100.0,100.0,48.4
Jacareí,55.2,30.3,14.5,77.6,57.0,100.0,100.0,98.8,99.4,46.1
Jaci,40.0,20.0,20.0,100.0,80.0,100.0,100.0,100.0,100.0,20.0
Jacupiranga,26.1,17.4,4.3,100.0,34.8,100.0,100.0,91.3,100.0,17.4
Jaguariúna,33.3,38.9,33.3,90.7,77.8,100.0,100.0,98.1,100.0,50.0
Jales,87.0,73.9,34.8,69.6,65.2,100.0,100.0,95.7,95.7,73.9
Jambeiro,75.0,75.0,25.0,100.0,50.0,100.0,100.0,75.0,100.0,75.0
Jandira,32.5,31.2,15.0,77.5,77.5,100.0,100.0,98.8,98.8,48.8
Jardinópolis,38.9,41.7,2.8,80.6,61.1,100.0,100.0,100.0,100.0,38.9
Jarinu,35.7,21.4,3.6,92.9,60.7,100.0,100.0,64.3,96.4,32.1
Jaú,52.6,49.1,27.6,69.8,70.7,100.0,100.0,99.1,97.4,38.8
Jeriquara,60.0,60.0,0.0,100.0,60.0,100.0,100.0,100.0,100.0,40.0
Joanópolis,91.7,33.3,25.0,75.0,75.0,100.0,100.0,83.3,91.7,33.3
José Bonifácio,48.1,33.3,14.8,85.2,66.7,100.0,100.0,100.0,100.0,48.1
João Ramalho,100.0,33.3,0.0,100.0,33.3,100.0,100.0,100.0,100.0,66.7
Jumirim,50.0,50.0,0.0,100.0,75.0,100.0,100.0,100.0,100.0,25.0
Jundiaí,50.0,22.4,32.7,75.0,77.2,99.7,100.0,97.4,98.1,48.4
Junqueirópolis,50.0,50.0,8.3,83.3,50.0,100.0,100.0,100.0,91.7,58.3
Juquitiba,51.7,34.5,6.9,89.7,75.9,100.0,100.0,37.9,100.0,41.4
Juquiá,40.9,40.9,13.6,95.5,45.5,77.3,100.0,77.3,100.0,40.9
Júlio Mesquita,50.0,50.0,0.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Lagoinha,66.7,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7
Laranjal Paulista,50.0,50.0,0.0,83.3,75.0,100.0,100.0,91.7,100.0,58.3
Lavrinhas,28.6,85.7,42.9,100.0,71.4,100.0,100.0,71.4,100.0,57.1
Lavínia,25.0,25.0,37.5,50.0,25.0,100.0,100.0,75.0,87.5,25.0
Leme,52.7,48.6,16.2,89.2,74.3,100.0,100.0,100.0,100.0,51.4
