ANO_LETIVO;NM_DIRETORIA;NM_MUNICIPIO;CD_REDE_ENSINO;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2024;GUARATINGUETA;ROSEIRA;1;0;0;0;0;0;0;88,92;11,08;0
2024;ARACATUBA;RUBIACEA;1;0;0;0;100;0;0;100;0;0
2024;JALES;RUBINEIA;1;0;0;0;99,5;0,5;0;100;0;0
2024;LINS;SABINO;1;0;0;0;98,39;1,61;0;95,33;4,67;0
2024;ADAMANTINA;SAGRES;1;0;0;0;100;0;0;100;0;0
2024;JOSE BONIFACIO;SALES;1;0;0;0;100;0;0;98,08;1,92;0
2024;SAO JOAQUIM DA BARRA;SALES OLIVEIRA;1;0;0;0;99,43;0,57;0;99,52;0,48;0
2024;MOGI DAS CRUZES;SALESOPOLIS;1;0;0;0;99,1;0,9;0;96,3;3,7;0
2024;ADAMANTINA;SALMOURAO;1;0;0;0;100;0;0;100;0;0
2024;PIRACICABA;SALTINHO;1;0;0;0;98,1;1,9;0;98,51;1,49;0
2024;ITU;SALTO;1;99,79;0,21;0;99,48;0,52;0;99,32;0,68;0
2024;VOTORANTIM;SALTO DE PIRAPORA;1;100;0;0;98,31;1,69;0;94,75;5,25;0
2024;OURINHOS;SALTO GRANDE;1;0;0;0;98,97;1,03;0;97,14;2,86;0
2024;MIRANTE DO PARANAPANEMA;SANDOVALINA;1;0;0;0;0;0;0;95,3;4,7;0
2024;CATANDUVA;SANTA ADELIA;1;0;0;0;100;0;0;99,3;0,7;0
2024;JALES;SANTA ALBERTINA;1;0;0;0;99,65;0,35;0;100;0;0
2024;AMERICANA;SANTA BARBARA D'OESTE;1;100;0;0;99,13;0,87;0;95,55;4,45;0
2024;JACAREI;SANTA BRANCA;1;0;0;0;0;0;0;95,24;4,76;0
2024;JALES;SANTA CLARA D'OESTE;1;0;0;0;97,18;2,82;0;94,64;5,36;0
2024;PIRASSUNUNGA;SANTA CRUZ DA CONCEICAO;1;0;0;0;100;0;0;100;0;0
2024;RIBEIRAO PRETO;SANTA CRUZ DA ESPERANCA;1;0;0;0;0;0;0;100;0;0
2024;PIRASSUNUNGA;SANTA CRUZ DAS PALMEIRAS;1;0;0;0;98,64;1,36;0;96,65;3,35;0
2024;OURINHOS;SANTA CRUZ DO RIO PARDO;1;100;0;0;98,51;1,49;0;94,58;5,42;0
2024;TAQUARITINGA;SANTA ERNESTINA;1;0;0;0;100;0;0;100;0;0
2024;JALES;SANTA FE DO SUL;1;0;0;0;0;0;0;86,79;13,21;0
2024;LIMEIRA;SANTA GERTRUDES;1;0;0;0;0;0;0;97,08;2,92;0
2024;JACAREI;SANTA ISABEL;1;0;0;0;99,16;0,84;0;99,06;0,94;0
2024;ARARAQUARA;SANTA LUCIA;1;0;0;0;98,62;1,38;0;91,72;8,28;0
2024;PIRACICABA;SANTA MARIA DA SERRA;1;0;0;0;100;0;0;97,58;2,42;0
2024;ADAMANTINA;SANTA MERCEDES;1;0;0;0;100;0;0;100;0;0
2024;JALES;SANTA RITA D'OESTE;1;0;0;0;99,17;0,83;0;96,15;3,85;0
2024;PIRASSUNUNGA;SANTA RITA DO PASSA QUATRO;1;0;0;0;98,79;1,21;0;95,01;4,99;0
2024;RIBEIRAO PRETO;SANTA ROSA DE VITERBO;1;0;0;0;99,09;0,91;0;99,47;0,53;0
2024;JALES;SANTA SALETE;1;100;0;0;100;0;0;99,08;0,92;0
2024;JALES;SANTANA DA PONTE PENSA;1;100;0;0;100;0;0;100;0;0
2024;SANTO ANASTACIO;SANTO ANASTACIO;1;0;0;0;93,6;6,4;0;83,28;16,72;0
2024;SANTO ANDRE;SANTO ANDRE;1;99,43;0,57;0;97,94;2,06;0;94,97;5,03;0
2024;RIBEIRAO PRETO;SANTO ANTONIO DA ALEGRIA;1;0;0;0;0;0;0;96,83;3,17;0
2024;MOGI MIRIM;SANTO ANTONIO DE POSSE;1;0;0;0;0;0;0;95,5;4,5;0
2024;ARACATUBA;SANTO ANTONIO DO ARACANGUA;1;0;0;0;0;0;0;100;0;0
2024;SAO JOAO DA BOA VISTA;SANTO ANTONIO DO JARDIM;1;100;0;0;97,93;2,07;0;92,61;7,39;0
2024;PINDAMONHANGABA;SANTO ANTONIO DO PINHAL;1;0;0;0;0;0;0;100;0;0
2024;PRESIDENTE PRUDENTE;SANTO EXPEDITO;1;0;0;0;100;0;0;98,04;1,96;0
2024;PENAPOLIS;SANTOPOLIS DO AGUAPEI;1;0;0;0;98,86;1,14;0;98,08;1,92;0
2024;SANTOS;SANTOS;1;96,02;3,98;0;98,57;1,43;0;96,01;3,99;0
2024;PINDAMONHANGABA;SAO BENTO DO SAPUCAI;1;0;0;0;100;0;0;100;0;0
2024;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;1;100;0;0;97,4;2,6;0;93,89;6,11;0
2024;SAO BERNARDO DO CAMPO;SAO CAETANO DO SUL;1;0;0;0;98,65;1,35;0;91,1;8,9;0
2024;SAO CARLOS;SAO CARLOS;1;99,87;0,13;0;99,32;0,68;0;97,83;2,17;0
2024;JALES;SAO FRANCISCO;1;100;0;0;100;0;0;100;0;0
2024;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;1;0;0;0;97,03;2,97;0;93,18;6,82;0
2024;FERNANDOPOLIS;SAO JOAO DAS DUAS PONTES;1;0;0;0;100;0;0;97,62;2,38;0
2024;FERNANDOPOLIS;SAO JOAO DE IRACEMA;1;0;0;0;100;0;0;100;0;0
2024;ADAMANTINA;SAO JOAO DO PAU D'ALHO;1;0;0;0;100;0;0;100;0;0
2024;SAO JOAQUIM DA BARRA;SAO JOAQUIM DA BARRA;1;100;0;0;99,43;0,57;0;99,16;0,84;0
2024;FRANCA;SAO JOSE DA BELA VISTA;1;0;0;0;88,36;11,64;0;90,49;9,51;0
2024;GUARATINGUETA;SAO JOSE DO BARREIRO;1;0;0;0;0;0;0;90,68;9,32;0
2024;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;1;99,65;0,35;0;98,32;1,68;0;93,08;6,92;0
